Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Jorge Ángel Sibaja Mendoza,Diputado,@JorgeAngelSibaj,Oaxaca,18-08-29,,,,,H,39,Cuenta análoga oficial eliminada
María Sierra Damián,Diputada,,Campeche,21-08-29,,,,,M,74,
Dulce María Silva Hernández,Diputada,@DulceM_SilvaH,Tlaxcala,21-08-29,,,,,M,42,
Judith Celina Tanori Córdova,Diputada,@judith_tanori,Sonora,21-08-29,,,,,M,58,
Claudia Tello Espinosa,Diputada,@Dip_ClauTello,Veracruz,18-08-29,,,,,M,57,
Paola Tenorio Adame,Diputada,@PaolaTenorioA,Veracruz,18-08-29,,,,,M,56,
Mario Alberto Torres Escudero,Diputado,@___mariotorres,Veracruz,21-08-29,,,,,H,43,
Juan Guadalupe Torres Navarro,Diputado,,Sinaloa,21-08-29,,,,,H,44,
Miguel Torruco Garza,Diputado,@MiguelTorrucoG,Ciudad de México,21-08-29,,,,,H,34,
Rosalba Valencia Cruz,Diputada,@RosalbaVCruz,Veracruz,18-09-29,,,,,M,57,
Alma Griselda Valencia Medina,Diputada,,Michoacán,21-08-29,,,,,M,60,
Roberto Valenzuela Corral,Diputado,@RobertoValMX,Aguascalientes,21-08-29,,,,,H,49,
Víctor Gabriel Varela López,Diputado,,Ciudad de México,18-09-1,,,,,H,49,
Teresita de Jesús Vargas Meraz,Diputada,@Maite_VargasM,Chihuahua,18-09-1,,,,,M,32,
Brianda Aurora Vázquez Álvarez,Diputada,@auroravazquez,Sonora,21-08-29,,,,,M,32,
Manuel Vazquez Arellano,Diputado,@Omarel44,Veracruz,21-08-29,,,,,H,34,
Alfredo Vázquez Vázquez,Diputado,,Chiapas,18-09-29,,,,,H,41,
Julieta Kristal Vences Valencia,Diputada,@Julieta_Kristal,Puebla,18-09-1,,,,,M,35,
Faustino Vidal Benavides,Diputado,,Veracruz,21-08-29,,,,,H,63,
Alberto Villa Villegas,Diputado,@BetoVillaMx,Jalisco,18-8-01,,,,,H,49,
María Corina Villegas Guarneros Dulce,Diputada,@corinavillegasg,Veracruz,18-8-01,,,,,M,55,
Merary Villegas Sanchez,Diputada,@MeraryVillegas,Sinaloa,18-8-01,,,,,M,35,
Casimiro Zamora Valdez,Diputado,@CasimiroZamoraV,Sinaloa,18-8-01,,,,,H,63,
Joaquín  Zebadúa Alva,Diputado,@JoaquinZA2012,Chiapas,21-8-29,,,,,H,47,
María del Carmen Zúñiga Cuevas,Diputada,@ZCarmen1966,Colima,21-11-04,,,,,M,56,
Rosa María Bayardo Cabrera,Ex-diputada,@BayardoRosi,Colima,18-12-04,21/11/01,,,,M,36,
Rocío Adriana Abreu Artiñano,Senadora,@RocioAbreuA,Campeche,18-9-1,,,,,M,48,
Claudia Esther Balderas Espinoza,Senadora,@ClauBalderasMX,Plurinominal,18-9-1,,,,,M,31,
Verónica Noemí Camino Farjat,Senadora,@veronicacamino,Yucatán,21-6-30,,,,,M,38,
Bertha Alicia Caraveo Camarena,Senadora,@CaraveoBertha,Chihuahua,18-9-1,,,,,M,68,
María Antonia Cárdenas Mariscal,Senadora,@MaAntoniaCar,Jalisco,18-8-1,,,,,M,64,
Imelda Castro Castro,Senadora,@imeldacastromx,Sinaloa,18-8-1,,,,,M,53,
Guadalupe Covarrubias Cervantes,Senadora,@mtra_lupita,Tamaulipas,18-8-1,,,,,M,82,
Mónica Fernández Balboa,Senadora,@monicaferbal,Tabasco,18-8-1,,,,,M,56,
Eva Eugenia Galaz Caletti,Senadora,@galaz_eva,Coahuila,18-8-1,,,,,M,,
María Merced González González,Senadora,@mariamercedg,Hidalgo,19-1-2,,,,,M,51,
Martha Guerrero Sánchez,Senadora,@_MarthaGuerrero,Estado de México,18-12-4,,,,,M,,
Susana Harp Iturribarría,Senadora,@SusanaHarp,Oaxaca,20-8-12,,,,,M,54,
Minerva Citlalli Hernández Mora,Senadora,@CitlaHM,Ciudad de México,22-04-18,,,,,M,32,
Rosa Elena Jiménez Arteaga,Senadora,,Nayarit,21-12-5,,,,,M,,
Gabriela López Gómez,Senadora,@GabrielaLOGO_,Quintana Roo,22-3-2,,,,,M,,
Freyda Marybel Villegas Canché,Senadora,@MarybelVillegas,Quintana Roo,18-09-1,,,,,M,46,
María Soledad Luévano Cantú,Senadora,@SoledadLuevano,Zacatecas,18-09-1,,,,,M,63,
Ifigenia Martínez Hernández,Senadora,@IfigeniaMtz,Plurinominal,18-09-1,,,,,M,92,
Lucy Meza,Senadora,@LuciaMezaGzm,Morelos,18-09-1,,,,,M,46,
Martha Lucía Micher Camarena,Senadora,@MaluMicher,Guanajuato,18-09-1,,,,,M,68,
Blanca Estela Piña Gudiño,Senadora,,Michoacán,18-09-1,,,,,M,66,
Ana Lilia Rivera Rivera,Senadora,@Ana_LiliaRivera,Tlaxcala,18-09-1,,,,,M,49,
Nestora Salgado García,Senadora,@nestora_salgado,Guerrero,18-09-1,,,,,M,50,
